[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.01 7.84676e-05 30.6582 269998 403.149
0.02 7.83954e-05 30.6865 269996 403.148
0.03 7.83233e-05 30.7149 269994 403.147
0.04 7.82512e-05 30.7433 269992 403.147
0.05 7.81792e-05 30.7718 269990 403.146
0.06 7.81073e-05 30.8003 269988 403.145
0.07 7.80354e-05 30.8288 269986 403.144
0.08 7.79636e-05 30.8573 269984 403.143
0.09 7.78918e-05 30.8859 269982 403.142
0.1 7.78201e-05 30.9145 269980 403.141
0.11 7.77485e-05 30.9431 269978 403.14
0.12 7.76769e-05 30.9718 269975 403.14
0.13 7.76053e-05 31.0005 269973 403.139
0.14 7.75338e-05 31.0292 269971 403.138
0.15 7.74624e-05 31.058 269969 403.137
0.16 7.7391e-05 31.0868 269967 403.136
0.17 7.73197e-05 31.1156 269965 403.135
0.18 7.72485e-05 31.1444 269963 403.134
0.19 7.71772e-05 31.1733 269961 403.133
0.2 7.71061e-05 31.2022 269959 403.132
0.21 7.7035e-05 31.2312 269957 403.131
0.22 7.6964e-05 31.2601 269955 403.131
0.23 7.6893e-05 31.2892 269952 403.13
0.24 7.68221e-05 31.3182 269950 403.129
0.25 7.67512e-05 31.3472 269948 403.128
0.26 7.66804e-05 31.3763 269946 403.127
0.27 7.66097e-05 31.4055 269944 403.126
0.28 7.6539e-05 31.4346 269942 403.125
0.29 7.64683e-05 31.4638 269940 403.124
0.3 7.63978e-05 31.493 269937 403.123
0.31 7.63272e-05 31.5223 269935 403.122
0.32 7.62568e-05 31.5516 269933 403.121
0.33 7.61864e-05 31.5809 269931 403.121
0.34 7.6116e-05 31.6102 269929 403.12
0.35 7.60457e-05 31.6396 269927 403.119
0.36 7.59755e-05 31.669 269925 403.118
0.37 7.59053e-05 31.6984 269922 403.117
0.38 7.58351e-05 31.7279 269920 403.116
0.39 7.57651e-05 31.7574 269918 403.115
0.4 7.56951e-05 31.7869 269916 403.114
0.41 7.56251e-05 31.8165 269914 403.113
0.42 7.55552e-05 31.8461 269911 403.112
0.43 7.54853e-05 31.8757 269909 403.111
0.44 7.54155e-05 31.9054 269907 403.11
0.45 7.53458e-05 31.9351 269905 403.109
0.46 7.52761e-05 31.9648 269903 403.108
0.47 7.52065e-05 31.9946 269900 403.107
0.48 7.51369e-05 32.0243 269898 403.107
0.49 7.50674e-05 32.0542 269896 403.106
0.5 7.49979e-05 32.084 269894 403.105
0.51 7.49285e-05 32.1139 269891 403.104
0.52 7.48592e-05 32.1438 269889 403.103
0.53 7.47899e-05 32.1737 269887 403.102
0.54 7.47207e-05 32.2037 269885 403.101
0.55 7.46515e-05 32.2337 269882 403.1
0.56 7.45824e-05 32.2638 269880 403.099
0.57 7.45133e-05 32.2938 269878 403.098
0.58 7.44443e-05 32.324 269876 403.097
0.59 7.43753e-05 32.3541 269873 403.096
0.6 7.43064e-05 32.3843 269871 403.095
0.61 7.42376e-05 32.4145 269869 403.094
0.62 7.41688e-05 32.4447 269867 403.093
0.63 7.41e-05 32.475 269864 403.092
0.64 7.40313e-05 32.5053 269862 403.091
0.65 7.39627e-05 32.5356 269860 403.09
0.66 7.38941e-05 32.566 269857 403.089
0.67 7.38256e-05 32.5963 269855 403.088
0.68 7.37572e-05 32.6268 269853 403.087
0.69 7.36888e-05 32.6572 269850 403.086
0.7 7.36204e-05 32.6877 269848 403.085
0.71 7.35521e-05 32.7183 269846 403.084
0.72 7.34839e-05 32.7488 269843 403.083
0.73 7.34157e-05 32.7794 269841 403.082
0.74 7.33475e-05 32.81 269839 403.081
0.75 7.32795e-05 32.8407 269836 403.08
0.76 7.32114e-05 32.8714 269834 403.079
0.77 7.31435e-05 32.9021 269832 403.078
0.78 7.30756e-05 32.9328 269829 403.077
0.79 7.30077e-05 32.9636 269827 403.076
0.8 7.29399e-05 32.9945 269825 403.075
0.81 7.28722e-05 33.0253 269822 403.074
0.82 7.28045e-05 33.0562 269820 403.073
0.83 7.27368e-05 33.0871 269817 403.072
0.84 7.26692e-05 33.1181 269815 403.071
0.85 7.26017e-05 33.1491 269813 403.07
0.86 7.25342e-05 33.1801 269810 403.069
0.87 7.24668e-05 33.2111 269808 403.068
0.88 7.23994e-05 33.2422 269805 403.067
0.89 7.23321e-05 33.2733 269803 403.066
0.9 7.22649e-05 33.3045 269801 403.065
0.91 7.21977e-05 33.3357 269798 403.064
0.92 7.21305e-05 33.3669 269796 403.063
0.93 7.20634e-05 33.3981 269793 403.062
0.94 7.19964e-05 33.4294 269791 403.061
0.95 7.19294e-05 33.4607 269789 403.06
0.96 7.18625e-05 33.4921 269786 403.059
0.97 7.17956e-05 33.5235 269784 403.058
0.98 7.17288e-05 33.5549 269781 403.057
0.99 7.1662e-05 33.5864 269779 403.056
1 7.15953e-05 33.6178 269776 403.055
1.01 7.15286e-05 33.6494 269774 403.053
1.02 7.1462e-05 33.6809 269771 403.052
1.03 7.13955e-05 33.7125 269769 403.051
1.04 7.1329e-05 33.7441 269766 403.05
1.05 7.12625e-05 33.7758 269764 403.049
1.06 7.11961e-05 33.8075 269761 403.048
1.07 7.11298e-05 33.8392 269759 403.047
1.08 7.10635e-05 33.871 269756 403.046
1.09 7.09973e-05 33.9028 269754 403.045
1.1 7.09311e-05 33.9346 269751 403.044
1.11 7.0865e-05 33.9664 269749 403.043
1.12 7.07989e-05 33.9983 269746 403.042
1.13 7.07329e-05 34.0303 269744 403.041
1.14 7.06669e-05 34.0622 269741 403.04
1.15 7.0601e-05 34.0942 269739 403.038
1.16 7.05352e-05 34.1263 269736 403.037
1.17 7.04694e-05 34.1583 269734 403.036
1.18 7.04036e-05 34.1904 269731 403.035
1.19 7.03379e-05 34.2226 269728 403.034
1.2 7.02723e-05 34.2547 269726 403.033
1.21 7.02067e-05 34.2869 269723 403.032
1.22 7.01412e-05 34.3192 269721 403.031
1.23 7.00757e-05 34.3514 269718 403.03
1.24 7.00102e-05 34.3838 269716 403.029
1.25 6.99449e-05 34.4161 269713 403.027
1.26 6.98796e-05 34.4485 269710 403.026
1.27 6.98143e-05 34.4809 269708 403.025
1.28 6.97491e-05 34.5133 269705 403.024
1.29 6.96839e-05 34.5458 269703 403.023
1.3 6.96188e-05 34.5783 269700 403.022
