[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
5.01 7.85389e-05 30.6302 270000 403.15
5.02 7.8536e-05 30.6313 270000 403.15
5.03 7.85312e-05 30.6332 270000 403.15
5.04 7.85246e-05 30.6358 270000 403.15
5.05 7.8516e-05 30.6392 270000 403.15
5.06 7.85055e-05 30.6433 269999 403.15
5.07 7.84932e-05 30.6481 269999 403.15
5.08 7.84789e-05 30.6537 269999 403.15
5.09 7.84627e-05 30.6601 269999 403.15
5.1 7.84446e-05 30.6672 269998 403.149
5.11 7.84245e-05 30.675 269998 403.149
5.12 7.84026e-05 30.6836 269998 403.149
5.13 7.83788e-05 30.693 269997 403.149
5.14 7.8353e-05 30.7031 269997 403.149
5.15 7.83253e-05 30.714 269996 403.149
5.16 7.82957e-05 30.7257 269996 403.149
5.17 7.82642e-05 30.7381 269995 403.148
5.18 7.82308e-05 30.7513 269995 403.148
5.19 7.81954e-05 30.7652 269994 403.148
5.2 7.81581e-05 30.78 269993 403.148
5.21 7.81188e-05 30.7955 269993 403.147
5.22 7.80777e-05 30.8118 269992 403.147
5.23 7.80346e-05 30.8289 269991 403.147
5.24 7.79895e-05 30.8467 269990 403.147
5.25 7.79425e-05 30.8654 269989 403.146
5.26 7.78936e-05 30.8848 269989 403.146
5.27 7.78427e-05 30.9051 269988 403.146
5.28 7.77898e-05 30.9262 269987 403.145
5.29 7.7735e-05 30.9481 269986 403.145
5.3 7.76782e-05 30.9707 269985 403.145
5.31 7.76194e-05 30.9943 269984 403.144
5.32 7.75587e-05 31.0186 269983 403.144
5.33 7.7496e-05 31.0438 269981 403.143
5.34 7.74313e-05 31.0698 269980 403.143
5.35 7.73646e-05 31.0967 269979 403.143
5.36 7.72959e-05 31.1244 269978 403.142
5.37 7.72253e-05 31.153 269977 403.142
5.38 7.71526e-05 31.1824 269975 403.141
5.39 7.70779e-05 31.2127 269974 403.141
5.4 7.70012e-05 31.2439 269972 403.14
5.41 7.69224e-05 31.276 269971 403.14
5.42 7.68417e-05 31.309 269969 403.139
5.43 7.67588e-05 31.3428 269968 403.139
5.44 7.6674e-05 31.3776 269966 403.138
5.45 7.65871e-05 31.4133 269965 403.138
5.46 7.64981e-05 31.45 269963 403.137
5.47 7.64071e-05 31.4876 269961 403.136
5.48 7.63139e-05 31.5261 269960 403.136
5.49 7.62187e-05 31.5656 269958 403.135
5.5 7.61214e-05 31.606 269956 403.135
5.51 7.6022e-05 31.6475 269954 403.134
5.52 7.59205e-05 31.6899 269952 403.133
5.53 7.58169e-05 31.7334 269950 403.132
5.54 7.57111e-05 31.7778 269948 403.132
5.55 7.56032e-05 31.8233 269946 403.131
5.56 7.54932e-05 31.8698 269944 403.13
5.57 7.5381e-05 31.9174 269942 403.129
5.58 7.52666e-05 31.966 269939 403.129
5.59 7.515e-05 32.0157 269937 403.128
5.6 7.50312e-05 32.0665 269935 403.127
5.61 7.49103e-05 32.1185 269932 403.126
5.62 7.47871e-05 32.1715 269930 403.125
5.63 7.46617e-05 32.2257 269927 403.124
5.64 7.4534e-05 32.281 269925 403.124
5.65 7.44041e-05 32.3375 269922 403.123
5.66 7.42719e-05 32.3952 269919 403.122
5.67 7.41374e-05 32.4541 269917 403.121
5.68 7.40006e-05 32.5143 269914 403.12
