x:6.78, V:104.623, Pressure:262760, iteration:1, T:403.15, f_new:14.079, dfdT:5.51298
x:6.78, V:104.623, Pressure:262760, iteration:2, T:403.15, f_new:14.0779, dfdT:5.51299
x:6.78, V:104.623, Pressure:262760, iteration:3, T:403.149, f_new:14.0757, dfdT:5.513
x:6.78, V:104.623, Pressure:262760, iteration:4, T:403.148, f_new:14.0713, dfdT:5.51303
x:6.78, V:104.623, Pressure:262760, iteration:5, T:403.147, f_new:14.0625, dfdT:5.51308
x:6.78, V:104.623, Pressure:262760, iteration:6, T:403.144, f_new:14.0448, dfdT:5.51319
x:6.79, V:106.609, Pressure:262458, iteration:1, T:403.144, f_new:14.6388, dfdT:5.51179
x:6.79, V:106.609, Pressure:262458, iteration:2, T:403.143, f_new:14.6377, dfdT:5.5118
x:6.79, V:106.609, Pressure:262458, iteration:3, T:403.143, f_new:14.6354, dfdT:5.51181
x:6.79, V:106.609, Pressure:262458, iteration:4, T:403.142, f_new:14.631, dfdT:5.51184
x:6.79, V:106.609, Pressure:262458, iteration:5, T:403.141, f_new:14.6222, dfdT:5.51189
x:6.79, V:106.609, Pressure:262458, iteration:6, T:403.137, f_new:14.6046, dfdT:5.512
x:6.79, V:106.609, Pressure:262458, iteration:7, T:403.131, f_new:14.5693, dfdT:5.51222
x:6.79, V:106.609, Pressure:262458, iteration:8, T:403.118, f_new:14.4987, dfdT:5.51266
x:6.79, V:106.609, Pressure:262458, iteration:9, T:403.093, f_new:14.3576, dfdT:5.51354
x:6.79, V:106.609, Pressure:262458, iteration:10, T:403.041, f_new:14.0753, dfdT:5.5153
x:6.79, V:106.609, Pressure:262458, iteration:11, T:402.939, f_new:13.5103, dfdT:5.51884
x:6.8, V:108.574, Pressure:262154, iteration:1, T:402.939, f_new:14.1098, dfdT:5.51741
x:6.8, V:108.574, Pressure:262154, iteration:2, T:402.939, f_new:14.1087, dfdT:5.51741
x:6.8, V:108.574, Pressure:262154, iteration:3, T:402.938, f_new:14.1065, dfdT:5.51743
x:6.8, V:108.574, Pressure:262154, iteration:4, T:402.937, f_new:14.1021, dfdT:5.51745
x:6.8, V:108.574, Pressure:262154, iteration:5, T:402.936, f_new:14.0932, dfdT:5.51751
x:6.8, V:108.574, Pressure:262154, iteration:6, T:402.933, f_new:14.0756, dfdT:5.51762
x:6.8, V:108.574, Pressure:262154, iteration:7, T:402.926, f_new:14.0403, dfdT:5.51784
x:6.81, V:110.522, Pressure:261847, iteration:1, T:402.926, f_new:14.6453, dfdT:5.5164
x:6.81, V:110.522, Pressure:261847, iteration:2, T:402.926, f_new:14.6442, dfdT:5.51641
x:6.81, V:110.522, Pressure:261847, iteration:3, T:402.926, f_new:14.642, dfdT:5.51642
x:6.81, V:110.522, Pressure:261847, iteration:4, T:402.925, f_new:14.6376, dfdT:5.51645
x:6.81, V:110.522, Pressure:261847, iteration:5, T:402.923, f_new:14.6288, dfdT:5.5165
x:6.81, V:110.522, Pressure:261847, iteration:6, T:402.92, f_new:14.6111, dfdT:5.51661
x:6.81, V:110.522, Pressure:261847, iteration:7, T:402.914, f_new:14.5758, dfdT:5.51684
