[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.001 7.85326e-05 30.6327 270000 403.15
0.002 7.85254e-05 30.6355 270000 403.15
0.003 7.85181e-05 30.6383 269999 403.15
0.004 7.85109e-05 30.6412 269999 403.15
0.005 7.85037e-05 30.644 269999 403.15
0.006 7.84965e-05 30.6468 269999 403.149
0.007 7.84893e-05 30.6497 269999 403.149
0.008 7.8482e-05 30.6525 269998 403.149
0.009 7.84748e-05 30.6553 269998 403.149
0.01 7.84676e-05 30.6582 269998 403.149
0.011 7.84604e-05 30.661 269998 403.149
0.012 7.84531e-05 30.6639 269998 403.149
0.013 7.84459e-05 30.6667 269997 403.149
0.014 7.84387e-05 30.6695 269997 403.149
0.015 7.84315e-05 30.6724 269997 403.149
0.016 7.84243e-05 30.6752 269997 403.149
0.017 7.84171e-05 30.6781 269997 403.149
0.018 7.84098e-05 30.6809 269996 403.148
0.019 7.84026e-05 30.6837 269996 403.148
0.02 7.83954e-05 30.6866 269996 403.148
0.021 7.83882e-05 30.6894 269996 403.148
0.022 7.8381e-05 30.6923 269996 403.148
0.023 7.83738e-05 30.6951 269995 403.148
0.024 7.83666e-05 30.6979 269995 403.148
0.025 7.83594e-05 30.7008 269995 403.148
0.026 7.83521e-05 30.7036 269995 403.148
0.027 7.83449e-05 30.7065 269995 403.148
0.028 7.83377e-05 30.7093 269994 403.148
0.029 7.83305e-05 30.7121 269994 403.147
0.03 7.83233e-05 30.715 269994 403.147
0.031 7.83161e-05 30.7178 269994 403.147
0.032 7.83089e-05 30.7207 269993 403.147
0.033 7.83017e-05 30.7235 269993 403.147
0.034 7.82945e-05 30.7264 269993 403.147
0.035 7.82873e-05 30.7292 269993 403.147
0.036 7.82801e-05 30.7321 269993 403.147
0.037 7.82729e-05 30.7349 269992 403.147
0.038 7.82657e-05 30.7377 269992 403.147
0.039 7.82585e-05 30.7406 269992 403.147
0.04 7.82512e-05 30.7434 269992 403.147
0.041 7.8244e-05 30.7463 269992 403.146
0.042 7.82368e-05 30.7491 269991 403.146
0.043 7.82296e-05 30.752 269991 403.146
0.044 7.82224e-05 30.7548 269991 403.146
0.045 7.82152e-05 30.7577 269991 403.146
0.046 7.8208e-05 30.7605 269991 403.146
0.047 7.82008e-05 30.7634 269990 403.146
0.048 7.81936e-05 30.7662 269990 403.146
0.049 7.81864e-05 30.7691 269990 403.146
0.05 7.81792e-05 30.7719 269990 403.146
0.051 7.81721e-05 30.7748 269990 403.146
0.052 7.81649e-05 30.7776 269989 403.145
0.053 7.81577e-05 30.7805 269989 403.145
0.054 7.81505e-05 30.7833 269989 403.145
0.055 7.81433e-05 30.7862 269989 403.145
0.056 7.81361e-05 30.789 269989 403.145
0.057 7.81289e-05 30.7919 269988 403.145
0.058 7.81217e-05 30.7947 269988 403.145
0.059 7.81145e-05 30.7976 269988 403.145
0.06 7.81073e-05 30.8004 269988 403.145
0.061 7.81001e-05 30.8033 269988 403.145
0.062 7.80929e-05 30.8061 269987 403.145
0.063 7.80857e-05 30.809 269987 403.145
0.064 7.80785e-05 30.8118 269987 403.144
0.065 7.80714e-05 30.8147 269987 403.144
0.066 7.80642e-05 30.8175 269987 403.144
0.067 7.8057e-05 30.8204 269986 403.144
0.068 7.80498e-05 30.8232 269986 403.144
0.069 7.80426e-05 30.8261 269986 403.144
0.07 7.80354e-05 30.829 269986 403.144
0.071 7.80282e-05 30.8318 269986 403.144
0.072 7.80211e-05 30.8347 269985 403.144
0.073 7.80139e-05 30.8375 269985 403.144
0.074 7.80067e-05 30.8404 269985 403.144
0.075 7.79995e-05 30.8432 269985 403.143
0.076 7.79923e-05 30.8461 269984 403.143
0.077 7.79851e-05 30.849 269984 403.143
0.078 7.7978e-05 30.8518 269984 403.143
0.079 7.79708e-05 30.8547 269984 403.143
0.08 7.79636e-05 30.8575 269984 403.143
0.081 7.79564e-05 30.8604 269983 403.143
0.082 7.79492e-05 30.8632 269983 403.143
0.083 7.79421e-05 30.8661 269983 403.143
0.084 7.79349e-05 30.869 269983 403.143
0.085 7.79277e-05 30.8718 269983 403.143
0.086 7.79205e-05 30.8747 269982 403.143
0.087 7.79133e-05 30.8775 269982 403.142
0.088 7.79062e-05 30.8804 269982 403.142
0.089 7.7899e-05 30.8833 269982 403.142
0.09 7.78918e-05 30.8861 269982 403.142
0.091 7.78847e-05 30.889 269981 403.142
0.092 7.78775e-05 30.8918 269981 403.142
0.093 7.78703e-05 30.8947 269981 403.142
0.094 7.78631e-05 30.8976 269981 403.142
0.095 7.7856e-05 30.9004 269981 403.142
0.096 7.78488e-05 30.9033 269980 403.142
0.097 7.78416e-05 30.9062 269980 403.142
0.098 7.78344e-05 30.909 269980 403.141
0.099 7.78273e-05 30.9119 269980 403.141
0.1 7.78201e-05 30.9148 269980 403.141
0.101 7.78129e-05 30.9176 269979 403.141
0.102 7.78058e-05 30.9205 269979 403.141
0.103 7.77986e-05 30.9233 269979 403.141
0.104 7.77914e-05 30.9262 269979 403.141
0.105 7.77843e-05 30.9291 269979 403.141
0.106 7.77771e-05 30.9319 269978 403.141
0.107 7.77699e-05 30.9348 269978 403.141
0.108 7.77628e-05 30.9377 269978 403.141
0.109 7.77556e-05 30.9405 269978 403.14
0.11 7.77485e-05 30.9434 269977 403.14
0.111 7.77413e-05 30.9463 269977 403.14
0.112 7.77341e-05 30.9491 269977 403.14
0.113 7.7727e-05 30.952 269977 403.14
0.114 7.77198e-05 30.9549 269977 403.14
0.115 7.77126e-05 30.9578 269976 403.14
0.116 7.77055e-05 30.9606 269976 403.14
0.117 7.76983e-05 30.9635 269976 403.14
0.118 7.76912e-05 30.9664 269976 403.14
0.119 7.7684e-05 30.9692 269976 403.14
0.12 7.76769e-05 30.9721 269975 403.14
0.121 7.76697e-05 30.975 269975 403.139
0.122 7.76625e-05 30.9778 269975 403.139
0.123 7.76554e-05 30.9807 269975 403.139
0.124 7.76482e-05 30.9836 269975 403.139
0.125 7.76411e-05 30.9865 269974 403.139
0.126 7.76339e-05 30.9893 269974 403.139
0.127 7.76268e-05 30.9922 269974 403.139
0.128 7.76196e-05 30.9951 269974 403.139
0.129 7.76125e-05 30.9979 269974 403.139
0.13 7.76053e-05 31.0008 269973 403.139
0.131 7.75982e-05 31.0037 269973 403.139
0.132 7.7591e-05 31.0066 269973 403.138
0.133 7.75839e-05 31.0094 269973 403.138
0.134 7.75767e-05 31.0123 269972 403.138
0.135 7.75696e-05 31.0152 269972 403.138
0.136 7.75624e-05 31.0181 269972 403.138
0.137 7.75553e-05 31.0209 269972 403.138
0.138 7.75481e-05 31.0238 269972 403.138
0.139 7.7541e-05 31.0267 269971 403.138
0.14 7.75338e-05 31.0296 269971 403.138
0.141 7.75267e-05 31.0324 269971 403.138
0.142 7.75195e-05 31.0353 269971 403.138
0.143 7.75124e-05 31.0382 269971 403.137
0.144 7.75052e-05 31.0411 269970 403.137
0.145 7.74981e-05 31.044 269970 403.137
0.146 7.7491e-05 31.0468 269970 403.137
0.147 7.74838e-05 31.0497 269970 403.137
0.148 7.74767e-05 31.0526 269970 403.137
0.149 7.74695e-05 31.0555 269969 403.137
0.15 7.74624e-05 31.0584 269969 403.137
0.151 7.74553e-05 31.0612 269969 403.137
0.152 7.74481e-05 31.0641 269969 403.137
0.153 7.7441e-05 31.067 269969 403.137
0.154 7.74338e-05 31.0699 269968 403.136
0.155 7.74267e-05 31.0728 269968 403.136
0.156 7.74196e-05 31.0756 269968 403.136
0.157 7.74124e-05 31.0785 269968 403.136
0.158 7.74053e-05 31.0814 269967 403.136
0.159 7.73982e-05 31.0843 269967 403.136
0.16 7.7391e-05 31.0872 269967 403.136
0.161 7.73839e-05 31.09 269967 403.136
0.162 7.73768e-05 31.0929 269967 403.136
0.163 7.73696e-05 31.0958 269966 403.136
0.164 7.73625e-05 31.0987 269966 403.136
0.165 7.73554e-05 31.1016 269966 403.136
0.166 7.73482e-05 31.1045 269966 403.135
0.167 7.73411e-05 31.1074 269966 403.135
