x:5.09, V:30.6601, Pressure:269999, iteration:1, T:403.151, f_new:3.3566, dfdT:2236.5
x:5.09, V:30.6601, Pressure:269999, iteration:2, T:403.149, f_new:-1.11641, dfdT:2236.52
x:5.09, V:30.6601, Pressure:269999, iteration:3, T:403.15, f_new:1.1201, dfdT:2236.51
x:5.09, V:30.6601, Pressure:269999, iteration:4, T:403.15, f_new:2.23835, dfdT:2236.5
x:5.09, V:30.6601, Pressure:269999, iteration:5, T:403.149, f_new:0.0018431, dfdT:2236.51
x:5.13, V:30.693, Pressure:269997, iteration:1, T:403.15, f_new:3.40969, dfdT:2236.5
x:5.13, V:30.693, Pressure:269997, iteration:2, T:403.149, f_new:-1.06332, dfdT:2236.52
x:5.13, V:30.693, Pressure:269997, iteration:3, T:403.149, f_new:1.17319, dfdT:2236.51
x:5.13, V:30.693, Pressure:269997, iteration:4, T:403.15, f_new:2.29144, dfdT:2236.51
x:5.13, V:30.693, Pressure:269997, iteration:5, T:403.149, f_new:0.0549337, dfdT:2236.51
x:5.16, V:30.7257, Pressure:269996, iteration:1, T:403.15, f_new:3.45436, dfdT:2236.5
x:5.16, V:30.7257, Pressure:269996, iteration:2, T:403.148, f_new:-1.01867, dfdT:2236.52
x:5.16, V:30.7257, Pressure:269996, iteration:3, T:403.149, f_new:1.21785, dfdT:2236.51
x:5.16, V:30.7257, Pressure:269996, iteration:4, T:403.149, f_new:2.3361, dfdT:2236.51
x:5.16, V:30.7257, Pressure:269996, iteration:5, T:403.149, f_new:0.0995935, dfdT:2236.52
x:5.18, V:30.7513, Pressure:269994, iteration:1, T:403.149, f_new:3.24846, dfdT:2236.5
x:5.18, V:30.7513, Pressure:269994, iteration:2, T:403.148, f_new:-1.22456, dfdT:2236.52
x:5.18, V:30.7513, Pressure:269994, iteration:3, T:403.149, f_new:1.01195, dfdT:2236.51
x:5.18, V:30.7513, Pressure:269994, iteration:4, T:403.149, f_new:2.13021, dfdT:2236.51
x:5.18, V:30.7513, Pressure:269994, iteration:5, T:403.148, f_new:-0.106304, dfdT:2236.52
x:5.21, V:30.7955, Pressure:269992, iteration:1, T:403.149, f_new:3.70708, dfdT:2236.5
x:5.21, V:30.7955, Pressure:269992, iteration:2, T:403.147, f_new:-0.76595, dfdT:2236.52
x:5.24, V:30.8467, Pressure:269990, iteration:1, T:403.148, f_new:3.30127, dfdT:2236.51
x:5.24, V:30.8467, Pressure:269990, iteration:2, T:403.146, f_new:-1.17177, dfdT:2236.53
x:5.24, V:30.8467, Pressure:269990, iteration:3, T:403.147, f_new:1.06476, dfdT:2236.52
x:5.24, V:30.8467, Pressure:269990, iteration:4, T:403.148, f_new:2.18301, dfdT:2236.51
x:5.24, V:30.8467, Pressure:269990, iteration:5, T:403.147, f_new:-0.0535039, dfdT:2236.52
x:5.26, V:30.8849, Pressure:269988, iteration:1, T:403.148, f_new:3.54693, dfdT:2236.51
x:5.26, V:30.8849, Pressure:269988, iteration:2, T:403.146, f_new:-0.926105, dfdT:2236.53
x:5.29, V:30.9481, Pressure:269985, iteration:1, T:403.147, f_new:3.57566, dfdT:2236.51
x:5.29, V:30.9481, Pressure:269985, iteration:2, T:403.145, f_new:-0.897391, dfdT:2236.53
x:5.32, V:31.0187, Pressure:269982, iteration:1, T:403.146, f_new:3.87327, dfdT:2236.52
x:5.32, V:31.0187, Pressure:269982, iteration:2, T:403.144, f_new:-0.599778, dfdT:2236.53
x:5.34, V:31.0699, Pressure:269980, iteration:1, T:403.145, f_new:3.47907, dfdT:2236.52
x:5.34, V:31.0699, Pressure:269980, iteration:2, T:403.143, f_new:-0.99399, dfdT:2236.54
x:5.37, V:31.153, Pressure:269976, iteration:1, T:403.144, f_new:4.24123, dfdT:2236.52
x:5.37, V:31.153, Pressure:269976, iteration:2, T:403.142, f_new:-0.231833, dfdT:2236.54
x:5.39, V:31.2128, Pressure:269973, iteration:1, T:403.143, f_new:4.1644, dfdT:2236.53
x:5.39, V:31.2128, Pressure:269973, iteration:2, T:403.141, f_new:-0.308667, dfdT:2236.54
x:5.41, V:31.2761, Pressure:269970, iteration:1, T:403.142, f_new:4.21931, dfdT:2236.53
x:5.41, V:31.2761, Pressure:269970, iteration:2, T:403.14, f_new:-0.253764, dfdT:2236.55
x:5.43, V:31.3429, Pressure:269967, iteration:1, T:403.141, f_new:4.40901, dfdT:2236.53
x:5.43, V:31.3429, Pressure:269967, iteration:2, T:403.139, f_new:-0.0640756, dfdT:2236.55
x:5.44, V:31.3777, Pressure:269965, iteration:1, T:403.14, f_new:3.43714, dfdT:2236.54
x:5.44, V:31.3777, Pressure:269965, iteration:2, T:403.138, f_new:-1.03595, dfdT:2236.56
