[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
5.001 7.85398e-05 30.6298 270000 403.15
5.002 7.85398e-05 30.6298 270000 403.15
5.003 7.85397e-05 30.6299 270000 403.15
5.004 7.85397e-05 30.6299 270000 403.15
5.005 7.85396e-05 30.6299 270000 403.15
5.006 7.85395e-05 30.63 270000 403.15
5.007 7.85393e-05 30.63 270000 403.15
5.008 7.85392e-05 30.6301 270000 403.15
5.009 7.8539e-05 30.6301 270000 403.15
5.01 7.85389e-05 30.6302 270000 403.15
5.011 7.85387e-05 30.6303 270000 403.15
5.012 7.85384e-05 30.6304 270000 403.15
5.013 7.85382e-05 30.6305 270000 403.15
5.014 7.8538e-05 30.6306 270000 403.15
5.015 7.85377e-05 30.6307 270000 403.15
5.016 7.85374e-05 30.6308 270000 403.15
5.017 7.85371e-05 30.6309 270000 403.15
5.018 7.85367e-05 30.631 270000 403.15
5.019 7.85364e-05 30.6312 270000 403.15
5.02 7.8536e-05 30.6313 270000 403.15
5.021 7.85356e-05 30.6315 270000 403.15
5.022 7.85352e-05 30.6316 270000 403.15
5.023 7.85348e-05 30.6318 270000 403.15
5.024 7.85343e-05 30.632 270000 403.15
5.025 7.85339e-05 30.6322 270000 403.15
5.026 7.85334e-05 30.6324 270000 403.15
5.027 7.85329e-05 30.6325 270000 403.15
5.028 7.85324e-05 30.6328 270000 403.15
5.029 7.85318e-05 30.633 270000 403.15
5.03 7.85312e-05 30.6332 270000 403.15
5.031 7.85307e-05 30.6334 270000 403.15
5.032 7.85301e-05 30.6336 270000 403.15
5.033 7.85294e-05 30.6339 270000 403.15
5.034 7.85288e-05 30.6341 270000 403.15
5.035 7.85282e-05 30.6344 270000 403.15
5.036 7.85275e-05 30.6347 270000 403.15
5.037 7.85268e-05 30.6349 270000 403.15
5.038 7.85261e-05 30.6352 270000 403.15
5.039 7.85253e-05 30.6355 270000 403.15
5.04 7.85246e-05 30.6358 270000 403.15
5.041 7.85238e-05 30.6361 270000 403.15
5.042 7.8523e-05 30.6364 270000 403.15
5.043 7.85222e-05 30.6367 270000 403.15
5.044 7.85214e-05 30.637 270000 403.15
5.045 7.85205e-05 30.6374 270000 403.15
