[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.001 7.85326e-05 25.0023 270000 403.15
0.002 7.85254e-05 25.0046 270000 403.15
0.003 7.85181e-05 25.0069 270000 403.15
0.004 7.85109e-05 25.0092 269999 403.15
0.005 7.85037e-05 25.0115 269999 403.15
0.006 7.84965e-05 25.0139 269999 403.15
0.007 7.84893e-05 25.0162 269999 403.15
0.008 7.8482e-05 25.0185 269999 403.15
0.009 7.84748e-05 25.0208 269999 403.149
0.01 7.84676e-05 25.0231 269999 403.149
0.011 7.84604e-05 25.0254 269999 403.149
0.012 7.84531e-05 25.0277 269998 403.149
0.013 7.84459e-05 25.03 269998 403.149
0.014 7.84387e-05 25.0323 269998 403.149
0.015 7.84315e-05 25.0347 269998 403.149
0.016 7.84243e-05 25.037 269998 403.149
0.017 7.84171e-05 25.0393 269998 403.149
0.018 7.84098e-05 25.0416 269998 403.149
0.019 7.84026e-05 25.0439 269997 403.149
0.02 7.83954e-05 25.0462 269997 403.149
0.021 7.83882e-05 25.0485 269997 403.149
0.022 7.8381e-05 25.0509 269997 403.149
0.023 7.83738e-05 25.0532 269997 403.149
0.024 7.83666e-05 25.0555 269997 403.149
0.025 7.83594e-05 25.0578 269997 403.149
0.026 7.83521e-05 25.0601 269996 403.149
0.027 7.83449e-05 25.0624 269996 403.148
0.028 7.83377e-05 25.0647 269996 403.148
0.029 7.83305e-05 25.0671 269996 403.148
0.03 7.83233e-05 25.0694 269996 403.148
0.031 7.83161e-05 25.0717 269996 403.148
0.032 7.83089e-05 25.074 269996 403.148
0.033 7.83017e-05 25.0763 269996 403.148
0.034 7.82945e-05 25.0786 269995 403.148
0.035 7.82873e-05 25.081 269995 403.148
0.036 7.82801e-05 25.0833 269995 403.148
0.037 7.82729e-05 25.0856 269995 403.148
0.038 7.82657e-05 25.0879 269995 403.148
0.039 7.82585e-05 25.0902 269995 403.148
0.04 7.82512e-05 25.0925 269995 403.148
0.041 7.8244e-05 25.0949 269994 403.148
0.042 7.82368e-05 25.0972 269994 403.148
0.043 7.82296e-05 25.0995 269994 403.148
0.044 7.82224e-05 25.1018 269994 403.147
0.045 7.82152e-05 25.1041 269994 403.147
0.046 7.8208e-05 25.1065 269994 403.147
0.047 7.82008e-05 25.1088 269994 403.147
0.048 7.81936e-05 25.1111 269994 403.147
0.049 7.81864e-05 25.1134 269993 403.147
0.05 7.81792e-05 25.1157 269993 403.147
0.051 7.81721e-05 25.1181 269993 403.147
0.052 7.81649e-05 25.1204 269993 403.147
0.053 7.81577e-05 25.1227 269993 403.147
0.054 7.81505e-05 25.125 269993 403.147
0.055 7.81433e-05 25.1273 269993 403.147
0.056 7.81361e-05 25.1297 269992 403.147
0.057 7.81289e-05 25.132 269992 403.147
0.058 7.81217e-05 25.1343 269992 403.147
0.059 7.81145e-05 25.1366 269992 403.147
0.06 7.81073e-05 25.139 269992 403.147
0.061 7.81001e-05 25.1413 269992 403.146
0.062 7.80929e-05 25.1436 269992 403.146
0.063 7.80857e-05 25.1459 269991 403.146
0.064 7.80785e-05 25.1483 269991 403.146
0.065 7.80714e-05 25.1506 269991 403.146
0.066 7.80642e-05 25.1529 269991 403.146
0.067 7.8057e-05 25.1552 269991 403.146
0.068 7.80498e-05 25.1576 269991 403.146
0.069 7.80426e-05 25.1599 269991 403.146
0.07 7.80354e-05 25.1622 269991 403.146
0.071 7.80282e-05 25.1645 269990 403.146
0.072 7.80211e-05 25.1669 269990 403.146
0.073 7.80139e-05 25.1692 269990 403.146
0.074 7.80067e-05 25.1715 269990 403.146
0.075 7.79995e-05 25.1738 269990 403.146
0.076 7.79923e-05 25.1762 269990 403.146
0.077 7.79851e-05 25.1785 269990 403.146
0.078 7.7978e-05 25.1808 269989 403.145
0.079 7.79708e-05 25.1832 269989 403.145
0.08 7.79636e-05 25.1855 269989 403.145
0.081 7.79564e-05 25.1878 269989 403.145
0.082 7.79492e-05 25.1901 269989 403.145
0.083 7.79421e-05 25.1925 269989 403.145
0.084 7.79349e-05 25.1948 269989 403.145
0.085 7.79277e-05 25.1971 269988 403.145
0.086 7.79205e-05 25.1995 269988 403.145
0.087 7.79133e-05 25.2018 269988 403.145
0.088 7.79062e-05 25.2041 269988 403.145
0.089 7.7899e-05 25.2064 269988 403.145
0.09 7.78918e-05 25.2088 269988 403.145
0.091 7.78847e-05 25.2111 269988 403.145
0.092 7.78775e-05 25.2134 269987 403.145
0.093 7.78703e-05 25.2158 269987 403.145
0.094 7.78631e-05 25.2181 269987 403.145
0.095 7.7856e-05 25.2204 269987 403.144
0.096 7.78488e-05 25.2228 269987 403.144
0.097 7.78416e-05 25.2251 269987 403.144
0.098 7.78344e-05 25.2274 269987 403.144
0.099 7.78273e-05 25.2298 269987 403.144
0.1 7.78201e-05 25.2321 269986 403.144
0.101 7.78129e-05 25.2344 269986 403.144
0.102 7.78058e-05 25.2368 269986 403.144
0.103 7.77986e-05 25.2391 269986 403.144
0.104 7.77914e-05 25.2414 269986 403.144
0.105 7.77843e-05 25.2438 269986 403.144
0.106 7.77771e-05 25.2461 269986 403.144
0.107 7.77699e-05 25.2484 269985 403.144
0.108 7.77628e-05 25.2508 269985 403.144
0.109 7.77556e-05 25.2531 269985 403.144
0.11 7.77485e-05 25.2554 269985 403.144
0.111 7.77413e-05 25.2578 269985 403.144
0.112 7.77341e-05 25.2601 269985 403.143
0.113 7.7727e-05 25.2624 269985 403.143
0.114 7.77198e-05 25.2648 269984 403.143
0.115 7.77126e-05 25.2671 269984 403.143
0.116 7.77055e-05 25.2695 269984 403.143
0.117 7.76983e-05 25.2718 269984 403.143
0.118 7.76912e-05 25.2741 269984 403.143
0.119 7.7684e-05 25.2765 269984 403.143
0.12 7.76769e-05 25.2788 269984 403.143
0.121 7.76697e-05 25.2811 269984 403.143
0.122 7.76625e-05 25.2835 269983 403.143
0.123 7.76554e-05 25.2858 269983 403.143
0.124 7.76482e-05 25.2882 269983 403.143
0.125 7.76411e-05 25.2905 269983 403.143
0.126 7.76339e-05 25.2928 269983 403.143
0.127 7.76268e-05 25.2952 269983 403.143
0.128 7.76196e-05 25.2975 269983 403.143
0.129 7.76125e-05 25.2999 269982 403.142
0.13 7.76053e-05 25.3022 269982 403.142
0.131 7.75982e-05 25.3045 269982 403.142
0.132 7.7591e-05 25.3069 269982 403.142
0.133 7.75839e-05 25.3092 269982 403.142
0.134 7.75767e-05 25.3116 269982 403.142
