x:6.81983, V:117.598, Pressure:260537, iteration:1, T:403.149, f_new:997.791, dfdT:2218.41
x:6.82044, V:117.722, Pressure:260516, iteration:1, T:403.148, f_new:997.794, dfdT:2218.38
x:6.82104, V:117.847, Pressure:260495, iteration:1, T:403.147, f_new:997.798, dfdT:2218.35
x:6.82164, V:117.971, Pressure:260474, iteration:1, T:403.146, f_new:997.786, dfdT:2218.32
x:6.82225, V:118.095, Pressure:260453, iteration:1, T:403.145, f_new:997.793, dfdT:2218.29
x:6.82285, V:118.219, Pressure:260432, iteration:1, T:403.144, f_new:997.783, dfdT:2218.26
x:6.82345, V:118.343, Pressure:260411, iteration:1, T:403.143, f_new:997.792, dfdT:2218.23
x:6.82405, V:118.467, Pressure:260390, iteration:1, T:403.142, f_new:997.785, dfdT:2218.2
x:6.82466, V:118.591, Pressure:260368, iteration:1, T:403.141, f_new:997.797, dfdT:2218.17
x:6.82526, V:118.715, Pressure:260347, iteration:1, T:403.14, f_new:997.793, dfdT:2218.14
x:6.82586, V:118.838, Pressure:260326, iteration:1, T:403.139, f_new:997.79, dfdT:2218.1
x:6.82646, V:118.961, Pressure:260305, iteration:1, T:403.138, f_new:997.788, dfdT:2218.07
x:6.82706, V:119.085, Pressure:260284, iteration:1, T:403.137, f_new:997.788, dfdT:2218.04
x:6.82766, V:119.208, Pressure:260263, iteration:1, T:403.136, f_new:997.789, dfdT:2218.01
x:6.82826, V:119.331, Pressure:260242, iteration:1, T:403.135, f_new:997.791, dfdT:2217.98
x:6.82886, V:119.454, Pressure:260221, iteration:1, T:403.134, f_new:997.795, dfdT:2217.95
x:6.82946, V:119.577, Pressure:260199, iteration:1, T:403.133, f_new:997.8, dfdT:2217.92
x:6.83005, V:119.699, Pressure:260178, iteration:1, T:403.132, f_new:997.788, dfdT:2217.89
x:6.83065, V:119.822, Pressure:260157, iteration:1, T:403.131, f_new:997.796, dfdT:2217.86
x:6.83125, V:119.944, Pressure:260136, iteration:1, T:403.13, f_new:997.787, dfdT:2217.82
x:6.83185, V:120.067, Pressure:260115, iteration:1, T:403.129, f_new:997.799, dfdT:2217.79
x:6.83244, V:120.189, Pressure:260094, iteration:1, T:403.128, f_new:997.792, dfdT:2217.76
x:6.83304, V:120.311, Pressure:260073, iteration:1, T:403.127, f_new:997.788, dfdT:2217.73
x:6.83363, V:120.433, Pressure:260052, iteration:1, T:403.126, f_new:997.784, dfdT:2217.7
x:6.83423, V:120.555, Pressure:260031, iteration:1, T:403.125, f_new:997.783, dfdT:2217.67
x:6.83483, V:120.677, Pressure:260009, iteration:1, T:403.124, f_new:997.801, dfdT:2217.64
x:6.83542, V:120.798, Pressure:259988, iteration:1, T:403.123, f_new:997.783, dfdT:2217.61
x:6.83601, V:120.92, Pressure:259967, iteration:1, T:403.122, f_new:997.786, dfdT:2217.58
x:6.83661, V:121.041, Pressure:259946, iteration:1, T:403.121, f_new:997.79, dfdT:2217.55
x:6.8372, V:121.163, Pressure:259925, iteration:1, T:403.12, f_new:997.795, dfdT:2217.51
x:6.83779, V:121.284, Pressure:259904, iteration:1, T:403.119, f_new:997.784, dfdT:2217.48
x:6.83839, V:121.405, Pressure:259883, iteration:1, T:403.118, f_new:997.792, dfdT:2217.45
x:6.83898, V:121.526, Pressure:259861, iteration:1, T:403.117, f_new:997.783, dfdT:2217.42
x:6.83957, V:121.647, Pressure:259840, iteration:1, T:403.116, f_new:997.795, dfdT:2217.39
x:6.84016, V:121.768, Pressure:259819, iteration:1, T:403.115, f_new:997.789, dfdT:2217.36
x:6.84075, V:121.888, Pressure:259798, iteration:1, T:403.114, f_new:997.784, dfdT:2217.33
x:6.84135, V:122.009, Pressure:259777, iteration:1, T:403.113, f_new:997.8, dfdT:2217.3
x:6.84194, V:122.13, Pressure:259756, iteration:1, T:403.112, f_new:997.799, dfdT:2217.27
x:6.84253, V:122.25, Pressure:259735, iteration:1, T:403.111, f_new:997.799, dfdT:2217.24
x:6.84312, V:122.37, Pressure:259713, iteration:1, T:403.11, f_new:997.8, dfdT:2217.2
x:6.8437, V:122.49, Pressure:259692, iteration:1, T:403.109, f_new:997.784, dfdT:2217.17
x:6.84429, V:122.61, Pressure:259671, iteration:1, T:403.108, f_new:997.789, dfdT:2217.14
x:6.84488, V:122.73, Pressure:259650, iteration:1, T:403.107, f_new:997.795, dfdT:2217.11
x:6.84547, V:122.849, Pressure:259629, iteration:1, T:403.106, f_new:997.784, dfdT:2217.08
x:6.84606, V:122.969, Pressure:259608, iteration:1, T:403.105, f_new:997.793, dfdT:2217.05
x:6.84664, V:123.088, Pressure:259587, iteration:1, T:403.104, f_new:997.784, dfdT:2217.02
x:6.84723, V:123.209, Pressure:259566, iteration:1, T:403.103, f_new:997.796, dfdT:2216.99
x:6.84782, V:123.328, Pressure:259545, iteration:1, T:403.102, f_new:997.791, dfdT:2216.96
x:6.8484, V:123.447, Pressure:259523, iteration:1, T:403.101, f_new:997.787, dfdT:2216.93
x:6.84899, V:123.566, Pressure:259502, iteration:1, T:403.1, f_new:997.785, dfdT:2216.9
x:6.84957, V:123.685, Pressure:259481, iteration:1, T:403.099, f_new:997.784, dfdT:2216.86
