p_old:10000 T_old:528.381 rho:0.041431 u:2.73608e+06
p_old:10225.9 T_old:565.463 rho:0.0391933 u:2.80046e+06 frho_old:4.96081 fu_old:-458.8
p_old:11248.5 T_old:580.919 rho:0.0419655 u:2.82423e+06 frho_old:4.95803 fu_old:-24226.2 i:1
p_old:12373.3 T_old:580.063 rho:0.0462315 u:2.82289e+06 frho_old:4.95377 fu_old:-22885.6 i:2
p_old:13610.6 T_old:580.105 rho:0.0508523 u:2.82293e+06 frho_old:4.94915 fu_old:-22930.2 i:3
p_old:14971.7 T_old:580.104 rho:0.0559394 u:2.8229e+06 frho_old:4.94406 fu_old:-22904.3 i:4
p_old:16468.9 T_old:580.105 rho:0.0615354 u:2.82288e+06 frho_old:4.93846 fu_old:-22879.5 i:5
p_old:18115.8 T_old:580.105 rho:0.0676914 u:2.82285e+06 frho_old:4.93231 fu_old:-22852.1 i:6
p_old:19927.3 T_old:580.106 rho:0.0744636 u:2.82282e+06 frho_old:4.92554 fu_old:-22821.9 i:7
p_old:21920.1 T_old:580.107 rho:0.0819136 u:2.82279e+06 frho_old:4.91809 fu_old:-22788.7 i:8
p_old:24112.1 T_old:580.108 rho:0.0901093 u:2.82275e+06 frho_old:4.90989 fu_old:-22752.2 i:9
p_old:26523.3 T_old:580.109 rho:0.0991256 u:2.82271e+06 frho_old:4.90087 fu_old:-22712 i:10
p_old:29175.6 T_old:580.11 rho:0.109045 u:2.82267e+06 frho_old:4.89096 fu_old:-22667.8 i:11
p_old:32093.2 T_old:580.111 rho:0.119957 u:2.82262e+06 frho_old:4.88004 fu_old:-22619.2 i:12
p_old:35302.5 T_old:580.113 rho:0.131962 u:2.82257e+06 frho_old:4.86804 fu_old:-22565.7 i:13
p_old:38832.7 T_old:580.114 rho:0.145169 u:2.82251e+06 frho_old:4.85483 fu_old:-22506.8 i:14
p_old:42716 T_old:580.116 rho:0.1597 u:2.82244e+06 frho_old:4.8403 fu_old:-22442 i:15
p_old:46987.6 T_old:580.118 rho:0.175687 u:2.82237e+06 frho_old:4.82431 fu_old:-22370.6 i:16
p_old:51686.3 T_old:580.12 rho:0.193276 u:2.82229e+06 frho_old:4.80672 fu_old:-22292.1 i:17
p_old:56855 T_old:580.122 rho:0.212628 u:2.82221e+06 frho_old:4.78737 fu_old:-22205.8 i:18
p_old:62540.5 T_old:580.124 rho:0.23392 u:2.82211e+06 frho_old:4.76608 fu_old:-22110.7 i:19
p_old:68794.5 T_old:580.127 rho:0.257348 u:2.82201e+06 frho_old:4.74265 fu_old:-22006 i:20
p_old:75674 T_old:580.13 rho:0.283127 u:2.82189e+06 frho_old:4.71687 fu_old:-21890.8 i:21
p_old:83241.4 T_old:580.133 rho:0.311492 u:2.82176e+06 frho_old:4.68851 fu_old:-21764 i:22
p_old:91565.5 T_old:580.136 rho:0.342705 u:2.82162e+06 frho_old:4.6573 fu_old:-21624.4 i:23
p_old:100722 T_old:580.14 rho:0.377053 u:2.82147e+06 frho_old:4.62295 fu_old:-21470.6 i:24
